first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Matthijs,de Ligt,1,0,43,1170,20,60.2,276.6,122.0,5,169,45.7,1,0,0,1.8,49,DEF,8.8
Lisandro,Martínez,0,0,36,959,13,80.6,232.4,10.0,3,169,32.5,3,1,0,0.4,48,DEF,7.5
Noussair,Mazraoui,0,0,35,769,9,72.7,151.2,33.0,3,164,25.6,3,0,3,0.3,49,DEF,7.1
Diego,León Blanco,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,41,DEF,0.0
Diogo,Dalot Teixeira,1,6,105,2339,35,422.5,485.4,192.0,9,395,110.0,7,0,5,4.6,46,DEF,22.8
Patrick,Dorgu,3,3,74,1329,20,354.1,402.4,262.0,8,261,101.9,3,0,5,2.4,41,DEF,18.0
Harry,Maguire,1,1,63,1199,15,38.2,246.0,116.0,3,204,40.3,5,1,3,1.4,44,DEF,14.3
Luke,Shaw,0,1,88,2797,41,289.9,465.0,70.0,3,357,82.6,7,0,6,1.0,45,DEF,19.6
Leny,Yoro,0,1,53,1696,32,82.8,317.6,124.0,1,184,52.3,2,0,1,1.3,41,DEF,12.9
Harry,Amass,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Tyler,Fredricson,0,0,1,2,0,0.0,4.0,0.0,0,4,0.4,0,0,0,0.2,37,DEF,0.3
Ayden,Heaven,0,1,39,740,12,27.4,209.2,26.0,3,142,26.2,2,0,2,3.4,37,DEF,10.5
Tyrell,Malacia,0,0,2,7,1,0.5,3.6,0.0,0,2,0.4,0,0,0,0.5,37,DEF,0.5
Bruno,Borges Fernandes,8,19,199,2615,41,1587.9,1095.4,519.0,36,845,320.5,5,0,4,47.2,103,MID,19.3
Matheus,Santos Carneiro da Cunha,8,4,125,2238,31,464.0,577.2,696.0,12,506,174.0,7,0,3,10.4,80,MID,15.6
Marcus,Rashford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,70,MID,0.0
Amad,Diallo,2,4,77,1995,29,542.1,391.2,502.0,6,415,143.7,4,0,2,1.4,62,MID,12.4
Antony,dos Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,59,MID,0.0
Mason,Mount,3,0,47,822,14,200.6,165.0,160.0,3,165,52.5,3,0,1,0.3,59,MID,8.0
Carlos Henrique,Casimiro,8,4,148,2315,27,484.4,783.0,518.0,17,569,178.8,9,1,8,4.1,57,MID,26.0
Kobbie,Mainoo,0,2,49,1203,17,290.0,246.6,55.0,0,231,59.3,4,0,1,1.0,47,MID,10.4
Manuel,Ugarte Ribeiro,0,0,38,876,23,83.6,167.2,48.0,0,183,29.8,1,0,1,0.1,47,MID,8.1
Toby,Collyer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Jayce,Fitzgerald,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,MID,0.0
Jack,Fletcher,0,0,3,107,0,24.4,18.6,5.0,0,10,4.8,0,0,0,0.1,43,MID,0.7
Sékou,Koné,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID,0.0
Jack,Moorhouse,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Rasmus,Højlund,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,63,FWD,0.0
Joshua,Zirkzee,2,1,38,512,8,162.0,154.0,195.0,6,134,50.7,1,0,1,0.4,58,FWD,6.6
Chido,Obi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,42,FWD,0.0
Ethan,Wheatley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD,0.0
