Understat_ID, FPL_ID, Understat_Name, FPL_Name
-1,286,,Zach Marsh
-1,580,,Brennan Johnson
-1,690,,Rio Cardines
-1,712,,Yéremy Pino Santos
-1,723,,Jaydee Canvot
-1,732,,Christantus Uche
-1,762,,Joél Drakes-Thomas
-1,773,,Dean Benamar
-1,780,,Ben Casey
-1,793,,George King
-1,798,,Danny Imray
-1,242,,Kiernan Dewsbury-Hall
-1,287,,Jordan Pickford
-1,288,,Mark Travers
-1,289,,Harry Tyrer
-1,290,,Jarrad Branthwaite
-1,291,,James Tarkowski
-1,292,,Vitalii Mykolenko
-1,293,,Jake O'Brien
-1,294,,Séamus Coleman
-1,295,,Michael Keane
-1,296,,Nathan Patterson
-1,297,,Roman Dixon
-1,298,,Reece Welch
-1,299,,Iliman Ndiaye
-1,300,,Dwight McNeil
-1,301,,Carlos Alcaraz Durán
-1,302,,Idrissa Gana Gueye
-1,303,,James Garner
-1,304,,Tim Iroegbunam
-1,305,,Harrison Armstrong
-1,306,,Callum Bates
-1,307,,Coby Ebere
-1,308,,Isaac Heath
-1,309,,Jenson Metcalfe
-1,310,,Thierno Barry
-1,311,,Norberto Bercique Gomes Betuncal
-1,312,,Youssef Ramalho Chermiti
-1,313,,Martin Sherif
-1,419,,Jack Grealish
-1,630,,Tom King
-1,667,,Adam Aznou
-1,704,,Tyler Onyango
-1,705,,Elijah Campbell
-1,707,,Tyler Dibling
-1,728,,Merlin Röhl
-1,779,,Braiden Graham
-1,314,,Bernd Leno
-1,315,,Steven Benda
-1,316,,Antonee Robinson
-1,317,,Joachim Andersen
-1,318,,Calvin Bassey
-1,319,,Timothy Castagne
-1,320,,Issa Diop
-1,321,,Jorge Cuenca Barreno
-1,322,,Kenny Tete
-1,323,,Samuel Amissah
-1,324,,Alex Iwobi
-1,325,,Emile Smith Rowe
-1,326,,Adama Traoré Diarra
-1,327,,Andreas Hoelgebaum Pereira
-1,328,,Ryan Sessegnon
-1,329,,Harry Wilson
-1,330,,Sander Berge
-1,331,,Tom Cairney
-1,332,,Saša Lukić
-1,333,,Martial Godo
-1,334,,Luke Harris
-1,335,,Josh King
-1,336,,Harrison Reed
-1,337,,Raúl Jiménez Rodríguez
-1,338,,Rodrigo Muniz Carvalho
-1,664,,Benjamin Lecomte
-1,727,,Samuel Chukwueze
-1,731,,Kevin Santos Lopes de Macedo
-1,737,,Jonah Kusi-Asare
-1,770,,Seth Ridgeon
-1,786,,Alfie McNally
-1,168,,Facundo Buonanotte
-1,339,,Illan Meslier
-1,340,,Alex Cairns
-1,341,,Karl Darlow
-1,342,,Jayden Bogle
-1,343,,Pascal Struijk
-1,344,,Jaka Bijol
-1,345,,Sebastiaan Bornauw
-1,346,,Sam Byram
-1,347,,Gabriel Gudmundsson
-1,348,,Joe Rodon
-1,349,,Isaac Schmidt
-1,350,,Brenden Aaronson
-1,351,,Wilfried Gnonto
-1,352,,Jack Harrison
-1,353,,Daniel James
-1,354,,Ethan Ampadu
-1,355,,Sam Greenwood
-1,356,,Ilia Gruev
-1,357,,Largie Ramazani
-1,358,,Tanaka Ao
-1,359,,Charlie Crew
-1,360,,Joe Gelhardt
-1,361,,Darko Gyabi
-1,362,,Joël Piroe
-1,363,,Patrick Bamford
-1,364,,Mateo Joseph Fernández-Regatillo
-1,365,,Lukas Nmecha
-1,493,,Sean Longstaff
-1,660,,Anton Stach
-1,665,,Lucas Estella Perri
-1,691,,Dominic Calvert-Lewin
-1,698,,Noah Okafor
-1,706,,James Justin
-1,741,,Harry Gray
-1,787,,Sam Chambers
-1,366,,Alisson Becker
-1,367,,Giorgi Mamardashvili
-1,368,,Ármin Pécsi
-1,369,,Freddie Woodman
-1,370,,Jeremie Frimpong
-1,371,,Milos Kerkez
-1,372,,Andrew Robertson
-1,373,,Virgil van Dijk
-1,374,,Ibrahima Konaté
-1,375,,Conor Bradley
-1,376,,Joe Gomez
-1,377,,Konstantinos Tsimikas
-1,378,,Amara Nallo
-1,379,,Rhys Williams
-1,380,,Calvin Ramsay
-1,381,,Mohamed Salah
-1,382,,Florian Wirtz
-1,383,,Luis Díaz Marulanda
-1,384,,Cody Gakpo
-1,385,,Federico Chiesa
-1,386,,Alexis Mac Allister
-1,387,,Dominik Szoboszlai
-1,388,,Curtis Jones
-1,390,,Ryan Gravenberch
-1,392,,Endo Wataru
-1,393,,Stefan Bajčetić Maquieira
-1,394,,James McConnell
-1,395,,Tyler Morton
-1,396,,Trey Nyoni
-1,397,,Darwin Núñez Ribeiro
-1,398,,Jayden Danns
