id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
13392,Andrés García,2,27,0,0,0,0,0,0,0,0,S,Aston Villa,0,0,0.43621760606765747,0.43621760606765747
13399,Joe Knight,1,1,0,0,0,0,0,0,0,0,S,Brighton,0,0,0,0
13467,Tyler Fredricson,1,1,0,0,0,0,0,0,0,0,S,Manchester United,0,0,0,0
13474,Julio Soler,3,27,0,0,0,0,0,0,0,0,S,Bournemouth,0,0,0.06438634544610977,0.06438634544610977
13584,Harry Howell,2,81,0,0,0,0,0,0,0,0,M S,Brighton,0,0,0,0
13712,Robin Roefs,26,2340,0,0,0,0.7053439579904079,0,4,2,0,GK,Sunderland,0,0,2.9585720263421535,2.253228049725294
13713,Trai Hume,26,2139,0,1.9120108168572187,1,1.214829072356224,22,16,7,0,D M S,Sunderland,0,1.9120108168572187,5.479940847493708,2.863754980266094
13714,Jenson Seelt,2,135,0,0,0,0,0,0,0,0,D S,Sunderland,0,0,0.30460771918296814,0.30460771918296814
13716,Noah Sadiki,21,1858,0,0.3257188480347395,0,0.42260470427572727,8,10,5,0,M,Sunderland,0,0.3257188480347395,3.7391468435525894,3.3520641745999455
13719,Chris Rigg,10,388,0,0.24886058643460274,0,0.39297574758529663,4,3,0,0,M S,Sunderland,0,0.24886058643460274,0.8620094880461693,0.3320564776659012
13720,Dan Neil,3,13,0,0,0,0,0,0,0,0,S,Sunderland,0,0,0,0
13723,El Hadji Malick Diouf,20,1644,0,0.4092361181974411,4,1.261938407085836,12,11,4,0,D M S,West Ham,0,0.4092361181974411,3.0716699743643403,2.2273246459662914
13724,Freddie Potts,19,1082,0,0.21263288706541061,1,1.184074230492115,3,7,1,0,M S,West Ham,0,0.21263288706541061,2.431451864540577,1.5549293383955956
13727,Quilindschy Hartman,15,1346,0,0.11790954601019621,4,1.7861270951107144,6,16,1,0,D,Burnley,0,0.11790954601019621,3.063959948718548,2.7063506841659546
13740,David Møller Wolfe,16,737,0,0.08255818113684654,2,1.2312744036316872,3,7,1,0,D S,Wolverhampton Wanderers,0,0.08255818113684654,1.6957409083843231,1.2027955185621977
13776,Jorrel Hato,11,354,0,0.19623085856437683,0,0.49120156466960907,2,4,2,0,D S,Chelsea,0,0.19623085856437683,2.353478115051985,2.241723146289587
13779,Jair,1,90,0,0,0,0,0,0,0,0,D,Nottingham Forest,0,0,0,0
13780,Antoni Milambo,1,50,0,0,0,0,0,0,0,0,M,Brentford,0,0,0.043761223554611206,0.043761223554611206
13835,Joël Piroe,11,186,0,0.8733615130186081,0,0,9,0,0,0,F S,Leeds,0,0.8733615130186081,0.9353623818606138,0.13113017193973064
13870,Bradley Burrowes,1,12,0,0,0,0,0,0,0,0,S,Aston Villa,0,0,0,0
13872,Max Dowman,2,24,0,0.15431709215044975,0,0,3,0,0,0,S,Arsenal,0,0.15431709215044975,0.12994308397173882,0
14017,John Victor,5,440,0,0,0,0,0,0,1,0,GK,Nottingham Forest,0,0,0.8475470691919327,0.8475470691919327
14027,Veljko Milosavljevic,7,363,0,0.357437402009964,0,0.06701014190912247,1,1,0,0,D S,Bournemouth,0,0.357437402009964,0.45751750841736794,0.39050735905766487
14029,Tom Watson,6,44,0,0.024704832583665848,0,0,1,0,1,0,S,Brighton,0,0.024704832583665848,0.024704832583665848,0
14055,Divine Mukasa,2,21,0,0,0,0.21173159405589104,0,2,0,0,S,Manchester City,0,0,0.7216724120080471,0.5099408626556396
14056,Senne Lammens,20,1800,0,0,0,0,0,0,0,0,GK,Manchester United,0,0,2.843177353963256,2.843177353963256
14099,Luke O&#039;Nien,5,14,0,0,0,0,0,0,0,1,S,Sunderland,0,0,0,0
14127,Nehemiah Oriola,1,1,0,0,0,0,0,0,0,0,S,Brighton,0,0,0,0
14134,Jun&#039;ai Byfield,1,1,0,0,0,0,0,0,0,0,S,Tottenham,0,0,0,0
14193,George Hemmings,2,19,0,0.01938827894628048,0,0,1,0,0,0,S,Aston Villa,0,0.01938827894628048,0.3816603980958462,0.36227211728692055
14198,Shea Lacey,2,6,0,0.05930102616548538,0,0,3,0,0,0,S,Manchester United,0,0.05930102616548538,0.1093531921505928,0.05005216225981712
14217,Romelle Donovan,2,6,0,0.06804943084716797,0,0.032033760100603104,2,1,0,0,S,Brentford,0,0.06804943084716797,0.06804943084716797,0
14219,Mohamadou Kanté,3,8,0,0.06551869213581085,0,0.10989412665367126,1,1,0,0,S,West Ham,0,0.06551869213581085,0.17541281878948212,0
14263,Joél Drakes-Thomas,2,2,0,0,0,0,0,0,0,0,S,Crystal Palace,0,0,0.3753929138183594,0.3753929138183594
14266,Bendito Mantato,1,14,0,0,0,0.03647809848189354,0,1,0,0,S,Manchester United,0,0,0.12379638105630875,0.12379638105630875
14272,Tyler Fletcher,1,1,0,0,0,0,0,0,0,0,S,Manchester United,0,0,0,0
14281,Jaydon Banel,1,7,0,0,0,0,0,0,0,0,S,Burnley,0,0,0,0
14290,Pablo,5,266,0,0.5747046247124672,0,0.23621780052781105,4,4,0,0,M S,West Ham,0,0.5747046247124672,1.0849135592579842,0.28740884363651276
14374,Alex Tóth,3,66,0,0.09959147125482559,0,0.1118396744132042,1,2,0,0,M S,Bournemouth,0,0.09959147125482559,0.9828095138072968,0.77137840539217
14410,Souza,1,30,0,0,0,0.03038470447063446,0,1,0,0,S,Tottenham,0,0,0.03038470447063446,0.03038470447063446
14424,Nilson Angulo,2,82,0,0.23198740184307098,0,0.03542923741042614,2,2,0,0,M S,Sunderland,0,0.23198740184307098,0.15621910989284515,0.11521743983030319
14446,Alysson Edward,1,13,0,0,0,0,0,0,0,0,S,Aston Villa,0,0,0.030951447784900665,0.030951447784900665
